X,T,U
0.76,0.0,-0.6918861676276776
0.96,0.0,-0.12985859708020792
0.43999999999999995,0.0,-0.9790030293907003
-0.07999999999999996,0.0,0.24101612017176066
0.9199999999999999,0.0,-0.2490389127396627
-0.12,0.0,0.3607768320067669
0.32000000000000006,0.0,-0.8534835871450414
-1.0,0.0,0.0037628127535147345
-0.31999999999999995,0.0,0.8426792843977147
0.8,0.0,-0.5853410785314707
0.56,0.0,-0.9983233491600386
0.52,0.0,-0.9933292342716555
-0.36,0.0,0.9003266307767877
-0.52,0.0,0.9866073344284817
-0.56,0.0,0.9657590471538994
-0.96,0.0,0.12365827064200594
0.28,0.0,-0.7682208743917941
0.8400000000000001,0.0,-0.47947796934296855
0.19999999999999996,0.0,-0.5922249638008129
0.24,0.0,-0.6674959878924712
-0.16000000000000003,0.26,0.894918349975579
-0.28,0.26,0.9546609823390729
0.76,0.26,-0.40589624023599696
-0.52,0.26,0.7362235732976322
-0.31999999999999995,0.26,0.9112769484368027
0.96,0.26,-0.06628152599459107
0.15999999999999992,0.26,-0.8666777803665575
-0.84,0.26,0.2680169205099407
0.28,0.26,-0.961842176634883
0.9199999999999999,0.26,-0.14000078523612255
0.32000000000000006,0.26,-0.937966691132929
0.08000000000000007,0.26,-0.601604958980153
-0.12,0.26,0.7723469622570368
0.24,0.26,-0.9407636813534377
0.72,0.26,-0.4663266859563282
0.6000000000000001,0.26,-0.6412427833915295
-0.48,0.26,0.8083765511648328
-0.96,0.26,0.06592848693520804
-0.6,0.26,0.6560405574437725
0.52,0.26,-0.7455294771016381
